time,x,y,z,H,W
0.0,0.9484533399268638,0.05418640805078085,-0.31225005230444913,4,0
0.25,0.9474887169890621,0.058001180838395255,-0.31448528455203195,4,0
0.5,0.9256895883060857,0.05379968254349034,-0.37443875368333485,4,0
0.75,0.691124648182137,0.03222786507379058,-0.72201667943885,4,2
1.0,0.6924970061197113,0.15944236855416077,-0.7035808607580766,5,2
1.25,0.6953380440356373,0.15236446401850431,-0.7023461216672648,5,2
1.5,0.6853601865219495,0.14633014864967545,-0.7133504765027935,5,2
1.75,0.6094962646424517,0.12846427517050546,-0.7823114682732291,5,2
2.0,0.47353914718646306,0.09797968387136116,-0.8753060365554354,4,2
2.25,0.41009105083755143,0.0733870951600345,-0.9090872698959789,4,2
2.5,0.32405448380007423,0.05029227726413691,-0.9447006818969991,4,3
2.75,0.3005040566269561,0.06685792715452742,-0.9514343537666394,4,3
3.0,0.33899162908305996,0.06967395533577188,-0.9382058491394529,4,3
3.25,0.35152498546253125,0.08435528574368895,-0.9323702968041548,4,3
3.5,0.35538530013352604,0.09000555108246108,-0.9303764234025634,4,3
3.75,0.35964594761608587,0.08112567219756858,-0.9295554946714154,4,3
4.0,0.3598938711913089,0.07843851039636289,-0.9296901642836355,4,3
4.25,0.3882574033827176,0.08197854271703571,-0.9178974383080609,4,2
4.5,0.4746741216006112,0.06637250873125145,-0.8776554952641774,4,2
4.75,0.5046587922568971,0.07039129851699283,-0.8604444017430188,4,2
5.0,0.506954683353242,0.07275053603290665,-0.8588971466556045,4,2
5.25,0.8650872254135179,0.012012877228154632,-0.5014775999055617,4,1
5.5,0.873360174047863,-0.14213508714896597,0.4658751156568056,3,14
5.75,0.2735116643797296,-0.14446235961859696,0.9509584618171592,3,12
6.0,-0.39703800914844267,-0.06140839604174315,0.9157455040495812,4,10
6.25,-0.6375106745089726,0.04841777278245201,0.7689186297430318,4,10
6.5,-0.6360904674966747,0.17624233921214172,0.7512173820066294,5,10
6.75,-0.7836630567991395,0.2733661806267663,0.5578020658779981,5,9
7.0,-0.8713872037919429,0.2992372333290352,0.38876910789984775,5,9
7.25,-0.8477092654152819,0.2999325151840837,0.43752655652478195,5,9
7.5,-0.7550433948506312,0.33366374166935897,0.5644271249573654,6,9
7.75,-0.6814634156101133,0.4593361170188289,0.5697525294257697,6,9
8.0,-0.7113918253100786,0.5011135122486348,0.4927544202986235,6,9
8.25,-0.7054836315329319,0.5062951025642564,0.49594164450926603,6,9
8.5,-0.7019464513387165,0.4680882977925551,0.5368095797605059,6,9
8.75,-0.6939731937390693,0.34881757094774424,0.6298630871623706,6,9
9.0,-0.6785015423534765,0.18874406931341525,0.7099375559321868,5,10
9.25,-0.6590033484498787,0.13561272030789331,0.7398133391758631,5,10
9.5,-0.6480733754046731,0.12306066996674575,0.7515696718195387,5,10
9.75,-0.652691641775528,0.13297666030893004,0.7458624729596267,5,10
10.0,-0.6790592245965233,0.1172728236666313,0.7246555418401379,5,10
10.25,-0.6860956565104372,0.11987195695387072,0.717567741787186,5,10
10.5,-0.6487514577587801,0.12677921648906615,0.7503656284254202,5,10
10.75,-0.6150584941505852,0.12809919008099194,0.7780061993800622,5,10
11.0,-0.6146823210359003,0.09518819142436294,0.7830101228076666,4,10
11.25,-0.661772909123262,0.02302458608328117,0.7493507090716787,4,10
11.5,-0.7117382763270025,-0.05104363794945247,0.7005877340033528,4,9
11.75,-0.7785284534969719,-0.13424213955905578,0.6130844110415961,3,9
12.0,-0.8134963071049504,-0.17453051760496519,0.5547637846427537,3,9
12.25,-0.8208465085145389,-0.18467732669953593,0.5404676627353425,3,9
12.5,-0.8176151333227973,-0.19094297197110488,0.5431816226791791,3,9
12.75,-0.8069975721769681,-0.186655276138611,0.5602809352370455,3,9
13.0,-0.7649688526197619,-0.1580561953570092,0.6243723997990879,3,9
13.25,-0.5519212854681173,-0.09914080897492795,0.8279818806248227,4,10
13.5,0.13431360187647978,-0.050270284333915734,0.9896629501319901,4,12
13.75,0.5799401212569538,-0.09804319466589363,0.8087378980461937,4,13
