time,x,y,z,H,W
0.0,0.9587646815144497,0.10703371870328379,-0.2632756512498675,4,0
0.25,0.9496026898840233,0.08497424462058209,-0.3017185925928149,4,0
0.5,0.9355950373717188,0.061936849095058366,-0.3475999895995216,4,0
0.75,0.7375900284210799,0.010848412239665105,-0.6751616561429333,4,1
1.0,0.5965277590253962,-0.003908496379040137,-0.80258292803186,4,2
1.25,0.5303679760616541,0.018709833563689243,-0.8475610609839763,4,2
1.5,0.5193805421155817,0.022878932316491896,-0.8542367393924131,4,2
1.75,0.5390615381997652,0.02988480667158441,-0.8417360372253909,4,2
2.0,0.5249675648552963,0.013929620233932858,-0.851008238226892,4,2
2.25,0.5355826557994532,0.020205495550730274,-0.8442410537022903,4,2
2.5,0.5272108469121546,0.00656466747857727,-0.8497091432008157,4,2
2.75,0.5198872859016479,-0.0002876786629334993,-0.8542348197063879,4,2
3.0,0.5077506731664349,0.00439034644297855,-0.8614928779491696,4,2
3.25,0.49334708302880426,0.008896586938456765,-0.8697870465854365,4,2
3.5,0.4343501054606748,0.01564874551255087,-0.9006081848674171,4,2
3.75,0.42893637459786965,0.032600701445417844,-0.9027462438648542,4,2
4.0,0.5957795878025406,0.03727623952349798,-0.8022824719042675,4,2
4.25,0.9791965322888614,0.02486619201570707,-0.20138476518373233,4,0
4.5,0.8116169230830758,0.0038232506428739965,0.5841775012097628,4,14
4.75,0.5145604252644894,-0.04871888272002755,0.8560689453648813,4,13
5.0,0.24902155090437725,-0.05983804290161457,0.9666476482187721,4,12
5.25,0.033496580807499704,-0.04976463349357932,0.9981991085587366,4,12
5.5,-0.2256497320883114,0.019679185876419675,0.974009716610525,4,11
5.75,-0.49922998433985033,0.05290272418648671,0.8648530074583086,4,10
6.0,-0.7480834808348084,0.08241882418824188,0.6584665846658467,4,9
6.25,-0.8800853213494286,0.10853883190914515,0.46224360364754763,4,9
6.5,-0.9558113390224485,0.1254205824341571,0.26588411328620426,5,8
6.75,-0.9964124959891724,0.07147819359327161,-0.04531010568592899,4,7
7.0,-0.7771828455699644,0.05155960717821956,-0.6271590160871491,4,6
7.25,-0.7568628039777986,0.06157880776141214,-0.6506663863990111,4,6
7.5,-0.5965489433315123,0.06921923995109369,-0.7995861773634214,4,5
