time,x,y,z,H,W
0.0,0.9706901638770398,0.2403336550530838,-0.0005830962108746701,5,0
0.25,0.9707137748390744,0.2402196691957967,-0.003045959477235363,5,0
0.5,0.9720254904410845,0.2321829314007247,0.03546170186180166,5,15
0.75,0.9986864601351154,0.04040860793786246,0.03150394812267837,4,15
1.0,0.9862099884516159,0.04492861817679635,0.15928363992258382,4,15
1.25,0.9973365581135039,0.030122378408630954,0.06642614070768592,4,15
1.5,0.9312213505553046,-0.0015266382386910984,-0.36445090978846884,4,0
1.75,0.8540714614629311,-0.013247070551488473,-0.5199869746795359,4,1
2.0,0.8051652867758575,0.004201697485784257,-0.5930355863768964,4,1
2.25,0.7671051274580187,0.05563515736627145,-0.6391044145462047,4,1
2.5,0.724639392171831,0.049869283726849525,-0.6873214719862969,4,1
2.75,0.6116636953176743,0.051399335298225414,-0.7894464086695361,4,2
3.0,0.49753736973876705,0.04341273923337249,-0.8663555273591118,4,2
3.25,0.4448913837440839,0.05924013648325479,-0.8936231100971591,4,2
3.5,0.41405852283694844,0.0647537778204509,-0.9079440995590334,4,2
3.75,0.43011389558104357,0.0033136170451180252,-0.9027685510529139,4,2
4.0,0.43184564537168196,-0.05638649477028465,-0.9001832601093159,4,2
4.25,0.3362836818107213,-0.04916313385454821,-0.9404766193890335,4,3
4.5,0.1682012952865406,-0.05569852095792816,-0.9841778289653901,4,3
4.75,-0.05055906562892131,-0.02279090525203483,-0.9984609934897423,4,4
5.0,-0.44226751436923867,0.15916125851228,-0.8826478003838464,5,5
5.25,-0.7153711712631017,0.2514598646029978,-0.6519294623036298,5,6
5.5,-0.8821257506576998,0.2835746899413866,-0.3760845054655075,5,6
5.75,-0.9427939955796905,0.33252727690938366,-0.023771664016481266,5,7
6.0,-0.9149656089971381,0.3307633793046231,0.23115691913391256,5,8
6.25,-0.8714853655219857,0.28918592466383497,0.3960868069720748,5,9
6.5,-0.8106618804395946,0.25317968638353705,0.5279463628105359,5,9
6.75,-0.7696299882758261,0.2333230630104317,0.5943315820432074,5,9
7.0,-0.7201562076866731,0.23816276097485903,0.6516544604429415,5,9
7.25,-0.6950497425386192,0.23693645953107034,0.678798180272959,5,9
7.5,-0.6441550075571235,0.20928080790702186,0.7357077338732184,5,10
7.75,-0.6574730971698952,0.21612980896517892,0.7218150955573739,5,10
8.0,-0.6436854258903487,0.19392409569994304,0.7403124459330123,5,10
8.25,-0.6672488523839103,0.18002542811156758,0.7227515577469213,5,10
8.5,-0.6855190404173768,0.19544534331965016,0.7013307087244242,5,10
8.75,-0.7029711781816945,0.20670752499147532,0.6805170987989493,5,9
9.0,-0.6854426144365318,0.2066539487220463,0.6981851959129454,5,10
9.25,-0.6786651556125866,0.20179367715809904,0.70618193011175,5,10
9.5,-0.6658990642847006,0.19499099466476366,0.7201089835465228,5,10
9.75,-0.6628156705917203,0.1916491030021356,0.7238411484134657,5,10
10.0,-0.7391976266307405,0.07714651191188747,0.6690555167423023,4,9
10.25,-0.7609134547084376,-0.10986587910911555,0.6394843258839514,4,9
