time,x,y,z,H,W
0.0,-0.146548018656873,0.10592153797249446,-0.9835162967746318,4,4
0.25,-0.1568252832605718,0.09504005467860832,-0.9830428365727147,4,4
0.5,-0.20312290483786072,0.09451570358421578,-0.9745808675046982,4,4
0.75,-0.2501899377004343,0.07370382514535234,-0.9653873529482331,4,4
1.0,-0.2794310219014584,0.07613230839972411,-0.9571427143414067,4,4
1.25,-0.3027968079312015,0.06406124294801645,-0.9508997056780645,4,4
1.5,-0.3409262187430659,0.023190451155324653,-0.9398039776191457,4,4
1.75,-0.46690396864575995,0.0031837904494280977,-0.88430229420782,4,5
2.0,-0.4516567680524727,-0.03673485712000321,-0.8914351990721299,4,5
2.25,-0.28524959339421985,-0.05198548730138871,-0.9570424121105967,4,4
2.5,-0.09493289805585395,-0.03525827597312321,-0.9948590849171152,4,4
2.75,0.007829939626728911,0.035174774724363346,-0.9993505027109016,4,3
3.0,0.08311472346226069,0.09786127092533686,-0.9917233053612635,4,3
3.25,0.19412039010605234,0.06777822474927901,-0.9786334279978947,4,3
3.5,0.24357499232767768,0.07833266190099655,-0.9667136169476853,4,3
3.75,0.42190393666004045,0.0663902239625653,-0.9042065064978027,4,2
4.0,0.5106606343889819,0.08301547229234883,-0.8557652410828104,4,2
4.25,0.5487890289751831,0.10999599356972939,-0.8286926348623378,4,2
4.5,0.43304942453216055,0.15644084966633967,-0.8876905184060705,5,2
4.75,0.14318025764370648,0.16608813937427105,-0.975660875396915,5,3
5.0,-0.19481243326919173,0.15521473436260136,-0.9684815445223952,5,4
5.25,-0.5854100380427549,0.12386865090843222,-0.801218849429359,5,5
5.5,-0.9263655203976204,0.10053219872216351,-0.36296032791275373,4,7
5.75,-0.9838642259008371,0.10732249748503517,-0.1431539958440581,4,7
6.0,-0.993045407398294,0.11759292878069078,-0.0057203099509787044,5,7
6.25,-0.9842223846730024,0.11011629453548688,0.13849440128164991,4,8
6.5,-0.9758845949920469,0.0867058152679545,0.2003281279699082,4,8
6.75,-0.976084459493203,0.0927895803993248,0.1965940530768386,4,8
7.0,-0.991357055337451,0.0969518141581856,0.08838288614938343,4,8
