time,x,y,z,H,W
16.0,-0.04840509569425834,-0.06485210887346758,0.9967201967881926,4,11
16.25,-0.04943047882964749,-0.0602450830439242,0.9969589548881652,4,11
16.5,-0.09095184066819148,-0.04563200243327992,0.9948092696758495,4,11
16.75,-0.25888453332506456,-0.015165897635692378,0.9657892078264113,4,11
17.0,-0.4279119364361045,-0.0193240484271577,0.9036138311291434,4,10
17.25,-0.5343560741227189,-0.06681400051376929,0.842614666014959,4,10
17.5,-0.6080824464335178,-0.10060008859831662,0.7874740379932781,4,10
17.75,-0.7080524767699712,-0.1232256297152409,0.6953252004071129,3,9
18.0,-0.7784241533875007,-0.10256323011227453,0.6193033354115649,4,9
18.25,-0.8059330628295576,-0.09839449702015363,0.5837725766035258,4,9
18.5,-0.7420412275108585,-0.09752606951470828,0.663222046104614,4,9
18.75,-0.4088157398788856,-0.08338840504653519,0.9087992433596512,4,10
19.0,0.44429988290515326,-0.038160910337373274,0.8950650026521484,4,13
19.25,0.9326095694411394,-0.13741648685886607,0.33370061451273925,3,15
19.5,0.9873711641748656,-0.1539299989100142,-0.03746651293533179,3,0
19.75,0.9210656147018882,-0.16509202189992123,-0.3526793979222895,3,0
20.0,0.8235807624734188,-0.15937450371508272,-0.5443477705008745,3,1
20.25,0.7909145020833022,-0.1430970923805665,-0.5949600596229547,3,1
20.5,0.7551502060082402,-0.1469658786351454,-0.6388655546221848,3,1
20.75,0.7218074589384348,-0.07937585820996276,-0.6875270651794526,4,1
21.0,0.7131815370821416,0.06043297355607101,-0.6983694945172827,4,1
21.25,0.7081236491741592,0.24537895100938303,-0.6620801068464502,5,1
21.5,0.701979534474308,0.32976903764016285,-0.631250437618157,5,1
21.75,0.6941177059203184,0.28395314978160907,-0.6614916621220687,5,1
22.0,0.7140389455080589,0.28580420146322894,-0.6391121519136571,5,1
22.25,0.8706930061845038,0.2558719810697623,-0.4200276399057884,5,1
22.5,0.9840441595584045,0.16532634673653265,0.06575934240657587,5,15
22.75,0.8016822186884294,0.055403202416314114,0.5951773730584976,4,14
23.0,0.468043630541379,0.08777344140898628,0.879335534874412,4,13
23.25,0.1394373782823181,0.050962300368013316,0.9889186323853715,4,12
23.5,-0.21088604200148506,-0.009734833853365064,0.9774621784492715,4,11
23.75,-0.401234925730551,-0.004549515964283499,0.9159638837194889,4,10
24.0,-0.5198927536753459,0.0025372033181580984,0.8542277724794414,4,10
24.25,-0.5343669943908804,0.0035398619894304677,0.8452451624722571,4,10
24.5,-0.5305562307263739,0.012373130401991703,0.8475594325364317,4,10
24.75,-0.5360443179158255,0.02298121610185598,0.8438769773708943,4,10
25.0,-0.5469196038304657,0.017549966292382077,0.8370011622626712,4,10
25.25,-0.5272250822086406,-0.004073189435302382,0.8497159065345996,4,10
25.5,-0.49363905888099496,-0.039100519885573136,0.8687874474759426,4,10
25.75,-0.48751248551480303,-0.045062835009233526,0.8719523595748273,4,10
26.0,-0.16944202746357026,-0.00026603458449598553,0.9855401202156279,4,11
26.25,0.4240747983647111,-0.04691002609780325,0.9044114190142852,4,13
26.5,0.8129773054214492,-0.10986953068259803,0.571836154066237,4,14
26.75,0.9494768328844472,-0.1326103169794872,0.28444375128717314,3,15
27.0,0.968771141828896,-0.24045139931385384,0.06054419317776942,3,15
27.25,0.9811081095407596,-0.14908881058801993,-0.1232858627369987,3,0
27.5,0.9718160542475947,0.0898685816014242,-0.2179385113915948,4,0
27.75,0.9394771087660939,0.24173974577067378,-0.24278520840288087,5,0
28.0,0.9134080866869471,0.353304129574258,-0.20214316510994423,6,0
28.25,0.9532379212139528,0.12776964997988619,0.27388388434466054,5,15
28.5,0.7554496266940732,0.05843727380700066,0.6525955459224279,4,14
28.75,0.5470709058581884,0.03152793694412611,0.836492327015346,4,13
29.0,0.26364536552676066,-0.008461776973164362,0.9645825623380909,4,12
29.25,-0.3127133524336943,-0.07421911757933958,0.9469434417088616,4,11
29.5,-0.4910377731370346,-0.06587409354577577,0.8686440635566126,4,10
29.75,-0.5633344467624216,-0.11120956402250597,0.8187104090951822,3,10
30.0,-0.5928685012964633,-0.1447155236340601,0.7921895968704747,3,10
30.25,-0.6071446074386572,-0.17628379196084137,0.7747899394997753,3,10
