time,H,W
1.25,4,0
1.5,2,6
1.75,2,7
2.0,5,3
2.25,5,3
2.5,5,2
2.75,5,2
3.0,5,3
3.25,5,3
3.5,5,2
3.75,4,2
4.0,4,3
4.25,4,2
4.5,4,2
4.75,4,3
5.0,4,2
5.25,5,2
5.5,5,3
5.75,5,3
6.0,4,0
6.25,4,0
6.5,5,9
6.75,5,10
7.0,4,10
7.25,6,10
7.5,6,10
7.75,5,9
8.0,5,9
8.25,5,10
8.5,5,10
8.75,5,10
9.0,5,10
9.25,5,10
9.5,6,10
9.75,6,10
10.0,5,10
10.25,6,10
10.5,6,10
10.75,6,10
11.0,6,10
11.25,6,10
11.5,5,10
11.75,5,10
12.0,6,9
12.25,5,9
12.5,4,9
12.75,4,9
13.0,4,9
13.25,4,9
13.5,4,9
13.75,4,9
14.0,4,9
14.25,6,12
14.5,5,12
14.75,4,10
15.0,5,10
15.25,5,9
15.5,4,9
15.75,4,9
16.0,5,9
16.25,5,2
16.5,4,9
16.75,4,0
17.0,4,0
17.25,4,0
17.5,3,0
17.75,3,0
18.0,2,0
18.25,4,0
18.5,4,9
18.75,4,0
19.0,5,1
19.25,5,1
19.5,5,1
19.75,5,1
20.0,5,1
20.25,5,1
20.5,5,1
20.75,5,1
21.0,5,1
21.25,5,1
21.5,5,1
21.75,5,1
22.0,5,1
22.25,5,1
22.5,4,14
22.75,4,14
23.0,5,10
23.25,5,10
23.5,5,11
23.75,4,11
24.0,4,11
24.25,5,11
24.5,5,10
24.75,5,10
25.0,5,10
25.25,5,11
25.5,4,14
25.75,4,11
26.0,4,11
26.25,5,11
26.5,5,11
26.75,6,14
27.0,6,13
27.25,4,12
27.5,4,12
27.75,5,12
28.0,4,12
28.25,5,12
28.5,5,11
28.75,4,0
29.0,4,0
29.25,4,0
29.5,4,0
29.75,4,0
30.0,4,0
30.25,5,0
30.5,4,0
30.75,4,0
31.0,4,0
31.25,4,12
31.5,4,2
31.75,4,2
32.0,4,2
32.25,3,0
32.5,3,1
