time,H,W
1.25,5,7
1.5,5,8
1.75,5,8
2.0,5,8
2.25,5,8
2.5,6,10
2.75,6,10
3.0,5,10
3.25,5,11
3.5,4,10
3.75,6,11
4.0,4,11
4.25,4,11
4.5,4,10
4.75,4,10
5.0,5,10
5.25,6,10
5.5,6,10
5.75,5,9
6.0,5,9
6.25,5,9
6.5,6,10
6.75,6,10
7.0,5,10
7.25,5,10
7.5,5,10
7.75,5,10
8.0,5,10
8.25,5,10
8.5,5,10
8.75,5,10
9.0,5,10
9.25,5,10
9.5,5,10
9.75,5,10
10.0,5,10
10.25,5,10
10.5,5,10
10.75,5,10
11.0,5,10
11.25,5,10
11.5,4,10
11.75,4,10
12.0,4,10
12.25,4,10
12.5,4,9
12.75,4,8
13.0,4,8
13.25,4,9
13.5,5,3
13.75,5,3
14.0,5,4
14.25,6,4
14.5,6,4
14.75,4,3
15.0,4,2
15.25,5,9
15.5,4,0
15.75,4,0
16.0,4,0
16.25,4,0
16.5,4,0
16.75,4,0
17.0,4,0
17.25,4,0
17.5,4,0
17.75,4,0
18.0,4,0
18.25,4,0
18.5,4,0
18.75,4,0
19.0,4,0
19.25,4,0
19.5,4,0
19.75,4,0
20.0,4,0
20.25,4,0
20.5,4,0
20.75,4,0
21.0,4,0
21.25,4,0
21.5,4,0
21.75,4,0
22.0,5,0
22.25,2,7
22.5,4,8
22.75,5,3
23.0,4,7
23.25,5,9
23.5,5,9
23.75,5,9
24.0,5,9
24.25,5,9
24.5,5,9
24.75,4,8
25.0,4,8
25.25,5,10
25.5,5,10
25.75,5,10
26.0,5,10
26.25,5,10
26.5,4,10
26.75,4,10
27.0,4,10
27.25,4,10
27.5,4,10
27.75,5,10
28.0,4,10
28.25,4,10
28.5,4,10
28.75,4,10
29.0,4,10
29.25,5,10
29.5,5,10
29.75,4,10
30.0,4,10
30.25,4,10
30.5,4,10
30.75,4,10
31.0,4,10
31.25,4,10
31.5,4,10
31.75,5,10
32.0,5,10
32.25,6,10
32.5,5,10
32.75,5,10
33.0,6,10
33.25,5,9
33.5,6,10
33.75,6,10
34.0,6,10
34.25,6,10
34.5,6,10
34.75,6,10
35.0,6,10
35.25,6,10
35.5,6,10
35.75,6,10
36.0,6,10
36.25,6,10
36.5,6,10
36.75,6,10
37.0,5,10
37.25,5,10
37.5,5,10
37.75,5,10
38.0,5,10
38.25,5,10
38.5,5,10
38.75,5,10
39.0,5,10
39.25,5,10
39.5,6,11
39.75,4,10
40.0,4,10
40.25,4,10
40.5,6,11
40.75,6,11
41.0,6,11
41.25,6,11
41.5,6,11
41.75,6,11
42.0,6,11
42.25,6,11
42.5,6,11
42.75,6,11
43.0,6,11
43.25,6,11
43.5,6,11
43.75,6,11
44.0,6,11
44.25,6,11
44.5,6,11
44.75,6,11
45.0,6,11
45.25,6,11
45.5,6,11
45.75,6,11
46.0,6,11
46.25,6,11
46.5,6,11
46.75,6,11
47.0,6,11
47.25,6,11
47.5,6,11
47.75,6,11
48.0,6,11
48.25,6,11
48.5,6,11
48.75,6,11
49.0,6,11
49.25,6,11
49.5,6,11
49.75,6,11
50.0,6,11
50.25,5,11
50.5,6,11
50.75,6,11
51.0,6,11
51.25,6,11
51.5,6,11
51.75,6,11
52.0,6,11
52.25,6,11
52.5,4,10
52.75,6,11
53.0,4,10
53.25,5,11
53.5,6,11
53.75,6,11
54.0,5,10
54.25,6,10
54.5,6,11
54.75,6,11
55.0,6,10
55.25,6,10
55.5,6,10
55.75,6,10
56.0,6,10
56.25,6,10
56.5,6,10
56.75,6,10
57.0,6,11
57.25,6,11
57.5,6,11
57.75,6,10
58.0,6,10
58.25,6,11
58.5,5,11
58.75,4,10
59.0,6,11
59.25,6,11
59.5,6,11
59.75,4,10
60.0,6,11
60.25,4,10
60.5,4,10
60.75,4,10
61.0,4,10
61.25,6,11
61.5,6,11
61.75,6,11
62.0,6,11
62.25,6,11
62.5,6,11
62.75,6,11
63.0,6,11
63.25,4,11
63.5,4,11
63.75,4,11
64.0,4,10
64.25,6,11
64.5,6,11
64.75,5,11
65.0,4,10
65.25,4,10
65.5,4,10
65.75,4,10
66.0,4,10
66.25,4,10
66.5,5,11
66.75,5,11
67.0,4,10
67.25,4,11
67.5,4,11
67.75,4,11
68.0,4,11
68.25,4,11
68.5,4,11
68.75,4,11
69.0,4,11
69.25,4,10
69.5,4,10
69.75,4,10
70.0,4,10
70.25,6,11
70.5,6,11
70.75,6,11
71.0,6,11
71.25,4,11
71.5,4,11
71.75,4,11
72.0,4,11
72.25,4,11
72.5,4,11
72.75,4,11
73.0,4,11
73.25,4,11
73.5,4,11
73.75,4,11
74.0,4,11
74.25,4,11
74.5,4,11
74.75,4,11
75.0,4,11
75.25,4,11
75.5,5,12
75.75,5,12
76.0,4,11
76.25,4,12
76.5,5,12
76.75,5,12
77.0,4,12
77.25,4,12
77.5,4,12
77.75,4,12
78.0,5,12
78.25,5,11
78.5,5,10
78.75,4,8
79.0,4,8
79.25,5,8
79.5,5,8
79.75,5,8
80.0,5,8
80.25,5,8
80.5,6,8
80.75,6,8
81.0,5,7
81.25,5,7
81.5,5,7
81.75,5,7
82.0,5,7
82.25,5,7
82.5,5,7
82.75,5,7
83.0,5,7
83.25,5,7
83.5,5,7
83.75,5,7
84.0,5,7
84.25,5,7
84.5,5,7
84.75,5,7
85.0,5,7
85.25,6,7
85.5,5,7
85.75,6,6
86.0,5,6
86.25,6,6
86.5,5,6
86.75,5,6
87.0,6,6
87.25,5,6
87.5,5,6
87.75,6,5
88.0,6,6
88.25,6,6
88.5,6,6
88.75,6,6
89.0,5,4
89.25,3,14
89.5,5,11
89.75,6,11
90.0,6,11
90.25,5,12
90.5,4,12
90.75,4,12
91.0,4,12
91.25,4,12
91.5,4,12
91.75,4,12
92.0,4,12
92.25,4,12
92.5,4,12
92.75,4,12
93.0,4,12
93.25,4,12
93.5,4,12
93.75,4,12
94.0,4,12
94.25,5,12
94.5,5,12
94.75,4,6
95.0,6,6
95.25,6,6
95.5,5,6
95.75,5,6
96.0,5,6
96.25,5,6
96.5,5,6
96.75,5,6
97.0,5,6
97.25,5,6
97.5,5,6
97.75,5,6
98.0,5,6
98.25,5,6
98.5,5,6
98.75,5,6
99.0,5,6
99.25,5,6
99.5,5,6
99.75,5,5
100.0,5,5
100.25,5,5
100.5,6,6
100.75,6,6
101.0,6,6
101.25,6,6
101.5,6,6
101.75,5,7
102.0,5,6
102.25,5,6
102.5,6,6
102.75,6,6
103.0,6,6
103.25,5,6
103.5,5,7
103.75,5,6
104.0,6,6
104.25,6,6
104.5,6,6
104.75,6,6
105.0,6,6
105.25,6,6
105.5,5,6
105.75,5,6
106.0,5,6
106.25,5,6
106.5,5,6
106.75,6,6
107.0,5,6
107.25,5,6
107.5,2,12
107.75,2,12
108.0,5,9
108.25,6,8
108.5,5,8
108.75,5,8
109.0,6,6
109.25,5,6
109.5,4,7
109.75,6,4
110.0,4,3
110.25,5,2
110.5,4,0
110.75,4,0
111.0,4,0
111.25,4,0
111.5,4,0
111.75,4,0
112.0,4,0
112.25,4,0
112.5,4,1
112.75,4,1
113.0,4,0
113.25,4,0
113.5,4,0
113.75,4,0
114.0,4,1
114.25,4,0
114.5,4,0
114.75,4,0
115.0,4,0
115.25,4,0
115.5,4,0
115.75,4,0
116.0,4,0
116.25,4,0
116.5,4,0
116.75,5,1
117.0,2,6
117.25,2,6
117.5,5,2
117.75,5,2
118.0,5,2
118.25,5,2
118.5,5,2
118.75,4,2
119.0,7,4
119.25,6,4
119.5,4,1
119.75,2,12
120.0,6,8
120.25,6,8
120.5,6,8
120.75,6,8
121.0,6,8
121.25,6,8
121.5,6,9
121.75,5,9
122.0,5,9
122.25,5,9
122.5,5,9
122.75,5,9
123.0,5,9
123.25,5,9
123.5,5,9
123.75,5,9
124.0,5,9
124.25,5,9
124.5,5,9
124.75,5,9
125.0,6,9
125.25,4,8
125.5,5,9
125.75,5,9
126.0,5,9
126.25,4,8
126.5,4,8
126.75,5,9
127.0,5,9
127.25,5,9
127.5,5,9
127.75,5,9
128.0,5,9
128.25,5,9
128.5,6,8
128.75,6,8
129.0,5,9
129.25,4,6
129.5,4,6
129.75,5,6
130.0,5,6
130.25,5,5
130.5,5,4
130.75,5,6
131.0,4,4
131.25,4,4
131.5,4,7
131.75,4,4
132.0,5,3
