time,H,W
1.25,4,0
1.5,4,0
1.75,4,0
2.0,2,7
2.25,5,3
2.5,5,3
2.75,5,3
3.0,5,3
3.25,5,3
3.5,5,3
3.75,5,3
4.0,5,3
4.25,5,3
4.5,5,3
4.75,5,3
5.0,4,1
5.25,4,2
5.5,4,12
5.75,4,12
6.0,5,12
6.25,4,11
6.5,4,10
6.75,6,9
7.0,5,9
7.25,5,8
7.5,5,8
7.75,4,6
8.0,5,6
8.25,6,6
8.5,4,5
8.75,5,3
9.0,7,4
9.25,6,4
9.5,6,4
9.75,2,9
10.0,5,9
10.25,5,9
10.5,5,9
10.75,5,9
11.0,5,9
11.25,5,9
11.5,4,8
11.75,4,8
12.0,4,8
12.25,4,8
12.5,5,8
12.75,4,9
13.0,4,6
13.25,4,6
13.5,4,6
13.75,4,6
14.0,5,9
14.25,5,9
14.5,4,10
14.75,4,10
15.0,4,10
15.25,4,10
15.5,4,11
15.75,4,10
16.0,3,10
16.25,6,8
16.5,4,7
16.75,4,6
17.0,4,6
17.25,4,6
17.5,6,8
17.75,4,9
18.0,4,8
18.25,4,8
18.5,4,8
18.75,4,8
19.0,4,9
19.25,4,8
19.5,4,8
19.75,4,8
20.0,4,8
20.25,4,8
20.5,5,9
20.75,5,9
21.0,4,9
21.25,4,9
21.5,4,8
21.75,4,8
22.0,4,8
22.25,4,8
22.5,5,9
22.75,5,9
23.0,4,9
23.25,4,8
23.5,4,8
23.75,5,9
24.0,5,9
24.25,4,8
24.5,4,8
24.75,4,8
25.0,4,8
25.25,4,8
25.5,4,8
25.75,4,8
26.0,4,8
26.25,4,8
26.5,4,8
26.75,4,8
27.0,4,8
27.25,4,8
27.5,4,8
27.75,4,8
28.0,5,8
28.25,4,6
28.5,6,6
28.75,6,6
29.0,2,10
29.25,3,10
29.5,4,10
29.75,3,11
30.0,6,11
30.25,6,12
30.5,6,11
30.75,6,11
31.0,6,11
31.25,4,10
31.5,6,11
31.75,4,10
32.0,4,10
32.25,4,10
32.5,6,11
32.75,6,11
33.0,6,11
33.25,6,11
33.5,6,11
33.75,6,11
34.0,6,11
34.25,5,10
34.5,5,10
34.75,5,10
35.0,5,10
35.25,5,10
35.5,5,10
35.75,5,10
36.0,5,10
36.25,4,10
36.5,6,11
36.75,6,11
37.0,6,11
37.25,6,11
37.5,6,12
37.75,5,12
38.0,6,11
38.25,6,11
38.5,6,10
38.75,5,9
39.0,4,8
39.25,5,10
39.5,5,8
39.75,5,9
40.0,5,9
40.25,6,8
40.5,4,6
40.75,4,6
41.0,4,6
41.25,5,8
41.5,5,9
41.75,5,9
42.0,5,9
42.25,5,9
42.5,5,9
42.75,6,10
43.0,6,10
43.25,6,11
43.5,6,11
43.75,6,11
44.0,6,11
44.25,6,11
44.5,6,11
44.75,6,11
45.0,6,11
45.25,6,11
45.5,6,11
45.75,5,10
46.0,5,10
46.25,5,10
46.5,5,10
46.75,5,10
47.0,5,10
47.25,5,10
47.5,4,8
47.75,5,8
48.0,5,8
48.25,4,6
48.5,5,8
48.75,5,8
49.0,5,9
49.25,5,10
49.5,5,10
49.75,5,10
50.0,5,11
50.25,5,13
50.5,5,12
50.75,4,12
51.0,4,12
51.25,6,11
51.5,6,11
51.75,5,10
52.0,5,10
52.25,5,10
52.5,5,10
52.75,5,10
53.0,5,10
53.25,5,10
53.5,5,10
53.75,5,10
54.0,5,10
54.25,5,10
54.5,5,10
54.75,5,10
55.0,6,10
55.25,5,10
55.5,5,10
55.75,6,10
56.0,5,10
56.25,6,10
56.5,5,10
56.75,5,10
57.0,4,8
57.25,5,8
57.5,4,7
57.75,4,6
58.0,4,6
58.25,4,6
58.5,4,6
58.75,4,6
59.0,4,6
59.25,4,6
59.5,4,6
59.75,4,6
60.0,4,6
60.25,4,6
60.5,4,6
60.75,4,6
61.0,4,6
61.25,4,6
61.5,5,8
61.75,5,8
62.0,5,8
62.25,5,8
62.5,5,8
62.75,5,10
63.0,6,10
63.25,6,11
63.5,6,12
63.75,4,12
64.0,4,12
64.25,4,12
64.5,5,11
64.75,6,11
65.0,5,11
65.25,4,10
65.5,4,10
65.75,5,10
66.0,5,10
66.25,5,10
66.5,4,9
66.75,4,9
67.0,4,8
67.25,5,8
67.5,5,8
67.75,6,8
68.0,4,6
68.25,4,6
68.5,4,6
68.75,4,6
69.0,4,6
69.25,5,6
69.5,4,6
69.75,3,8
70.0,4,6
70.25,4,6
70.5,6,7
70.75,5,9
71.0,4,8
71.25,4,8
71.5,6,10
71.75,6,10
72.0,5,10
72.25,5,10
72.5,4,10
72.75,4,10
73.0,4,10
73.25,4,10
73.5,4,10
73.75,4,10
74.0,4,10
74.25,4,10
74.5,4,10
74.75,4,10
75.0,4,10
75.25,4,10
75.5,4,10
75.75,4,10
76.0,4,10
76.25,4,10
76.5,4,10
76.75,4,10
77.0,4,10
77.25,5,11
77.5,6,11
77.75,5,12
78.0,5,11
78.25,6,11
78.5,5,11
78.75,4,10
