time,H,W
1.25,4,4
1.5,4,4
1.75,4,4
2.0,4,4
2.25,4,4
2.5,4,4
2.75,4,4
3.0,4,4
3.25,5,4
3.5,5,3
3.75,5,3
4.0,4,3
4.25,4,3
4.5,4,3
4.75,4,3
5.0,5,3
5.25,5,3
5.5,2,7
5.75,2,7
6.0,5,7
6.25,5,7
6.5,5,7
6.75,5,8
7.0,5,9
7.25,5,9
7.5,5,9
7.75,5,9
8.0,5,9
8.25,5,9
8.5,5,9
8.75,4,9
9.0,5,9
9.25,6,10
9.5,6,10
9.75,5,10
10.0,5,10
10.25,5,10
10.5,5,10
10.75,5,10
11.0,5,10
11.25,5,10
11.5,5,10
11.75,5,10
12.0,5,10
12.25,5,10
12.5,6,10
12.75,5,10
13.0,6,10
13.25,5,10
13.5,5,9
13.75,5,9
14.0,4,8
14.25,4,8
14.5,4,8
14.75,4,8
15.0,4,8
15.25,5,8
15.5,4,8
15.75,5,8
16.0,4,8
16.25,4,6
16.5,4,6
16.75,4,6
17.0,4,6
17.25,4,6
17.5,5,6
17.75,5,6
18.0,4,5
18.25,4,4
18.5,6,4
18.75,6,4
19.0,4,2
19.25,4,2
19.5,4,2
19.75,4,2
20.0,4,3
20.25,4,2
20.5,4,2
20.75,5,3
21.0,4,2
21.25,5,2
21.5,4,2
21.75,4,2
22.0,4,2
22.25,4,2
22.5,5,2
22.75,5,2
23.0,2,8
23.25,4,3
23.5,2,8
23.75,2,8
24.0,6,6
24.25,6,6
24.5,4,6
24.75,4,6
25.0,4,6
25.25,4,6
25.5,6,8
25.75,5,9
26.0,5,9
26.25,5,9
26.5,5,9
26.75,5,9
27.0,5,9
27.25,5,9
27.5,6,8
27.75,4,6
28.0,6,9
28.25,6,8
28.5,5,9
28.75,5,9
29.0,5,9
29.25,5,8
29.5,5,9
29.75,4,8
30.0,4,8
30.25,4,8
30.5,4,8
30.75,4,8
31.0,4,8
31.25,4,8
31.5,4,8
31.75,4,8
32.0,4,8
32.25,4,8
32.5,5,9
32.75,5,9
33.0,5,10
33.25,5,10
33.5,5,10
33.75,5,10
34.0,5,10
34.25,5,10
34.5,5,10
34.75,5,10
35.0,5,10
35.25,5,10
35.5,5,10
35.75,6,10
36.0,6,10
36.25,6,10
36.5,6,10
36.75,6,10
37.0,6,10
37.25,6,10
37.5,6,10
37.75,6,10
38.0,6,10
38.25,6,10
38.5,6,10
38.75,6,10
39.0,6,10
39.25,6,10
39.5,6,10
39.75,6,10
40.0,6,10
40.25,6,10
40.5,6,10
40.75,6,10
41.0,6,10
41.25,6,10
41.5,6,10
41.75,6,10
42.0,6,10
42.25,6,10
42.5,6,10
42.75,6,10
43.0,6,10
43.25,5,10
43.5,6,10
43.75,6,10
44.0,6,10
44.25,6,10
44.5,6,10
44.75,6,10
45.0,6,10
45.25,6,10
45.5,6,10
45.75,6,10
46.0,6,10
46.25,6,10
46.5,6,10
46.75,6,10
47.0,6,10
47.25,6,10
47.5,6,10
47.75,6,10
48.0,6,10
48.25,6,10
48.5,6,10
48.75,6,10
49.0,6,10
49.25,6,10
49.5,6,10
49.75,6,10
50.0,6,10
50.25,6,10
50.5,6,10
50.75,5,10
51.0,5,10
51.25,5,10
51.5,5,10
51.75,5,10
52.0,5,10
52.25,5,10
52.5,5,10
52.75,4,10
53.0,4,10
53.25,5,11
53.5,6,11
53.75,6,11
54.0,6,11
54.25,6,11
54.5,5,10
54.75,5,10
55.0,5,10
55.25,5,10
55.5,5,10
55.75,6,10
56.0,5,10
56.25,6,10
56.5,6,10
56.75,5,10
57.0,5,10
57.25,6,10
57.5,6,10
57.75,5,10
58.0,5,10
58.25,5,10
58.5,5,10
58.75,5,10
59.0,5,10
59.25,5,10
59.5,5,10
59.75,5,10
60.0,5,10
60.25,5,10
60.5,5,10
60.75,5,10
61.0,5,10
61.25,6,10
61.5,6,10
61.75,5,10
62.0,5,10
62.25,5,10
62.5,5,10
62.75,5,10
63.0,5,10
63.25,5,10
63.5,5,10
63.75,5,10
64.0,5,10
64.25,5,10
64.5,5,10
64.75,5,10
65.0,5,10
65.25,5,10
65.5,5,10
65.75,5,10
66.0,5,10
66.25,5,11
66.5,5,11
66.75,4,10
67.0,4,10
67.25,4,10
67.5,4,10
67.75,4,10
68.0,4,10
68.25,4,10
68.5,4,10
68.75,4,10
69.0,4,10
69.25,4,10
69.5,4,10
69.75,4,10
70.0,4,10
70.25,4,10
70.5,4,10
70.75,4,10
71.0,4,10
71.25,4,10
71.5,4,10
71.75,4,10
72.0,4,10
72.25,4,10
72.5,4,10
72.75,4,10
73.0,4,10
73.25,4,10
73.5,4,10
73.75,4,10
74.0,4,10
74.25,4,10
74.5,4,10
74.75,4,10
75.0,4,10
75.25,4,10
75.5,4,10
75.75,4,10
76.0,4,10
76.25,4,10
76.5,5,10
76.75,5,10
77.0,4,8
77.25,4,8
77.5,6,7
77.75,4,7
78.0,4,6
78.25,4,6
78.5,4,6
78.75,6,7
79.0,5,7
79.25,5,8
79.5,5,8
79.75,5,8
80.0,5,8
80.25,5,7
80.5,4,6
80.75,4,6
81.0,4,6
81.25,5,7
81.5,5,7
81.75,5,7
82.0,5,7
82.25,5,7
82.5,5,7
82.75,5,7
83.0,5,7
83.25,5,7
83.5,5,7
83.75,5,7
84.0,5,7
84.25,5,7
84.5,5,7
84.75,5,7
85.0,5,7
85.25,6,7
85.5,6,7
85.75,6,7
86.0,5,6
86.25,6,6
86.5,5,6
86.75,6,6
87.0,6,6
87.25,6,6
87.5,6,6
87.75,5,5
88.0,4,4
