time,H,W
101.0,5,6
101.25,5,6
101.5,5,6
101.75,6,6
102.0,6,6
102.25,6,6
102.5,6,6
102.75,6,6
103.0,6,6
103.25,6,6
103.5,6,6
103.75,6,6
104.0,6,6
104.25,6,6
104.5,6,6
104.75,6,6
105.0,6,6
105.25,6,6
105.5,6,6
105.75,6,6
106.0,6,6
106.25,5,6
106.5,5,6
106.75,6,6
107.0,6,6
107.25,6,6
107.5,5,5
107.75,5,4
108.0,5,5
108.25,6,4
108.5,6,4
108.75,4,3
109.0,4,3
109.25,5,3
109.5,5,0
109.75,4,0
110.0,5,0
110.25,2,6
110.5,5,6
110.75,6,6
111.0,5,6
111.25,5,6
111.5,4,6
111.75,4,6
112.0,4,6
112.25,4,6
112.5,5,7
112.75,5,7
113.0,2,12
113.25,5,9
113.5,5,8
113.75,5,10
114.0,6,10
114.25,5,11
114.5,6,10
114.75,6,10
115.0,6,10
115.25,6,10
115.5,6,10
115.75,6,10
116.0,5,10
116.25,6,8
116.5,5,8
116.75,5,8
117.0,4,6
117.25,4,6
117.5,4,4
117.75,4,4
118.0,4,4
118.25,5,4
118.5,4,3
118.75,6,4
119.0,6,4
119.25,4,3
119.5,6,4
119.75,6,4
120.0,5,4
120.25,5,4
120.5,4,4
120.75,4,5
121.0,4,5
121.25,4,6
121.5,5,7
121.75,5,8
122.0,6,8
122.25,6,8
122.5,6,8
122.75,6,8
123.0,5,9
123.25,5,9
123.5,5,9
123.75,6,8
124.0,6,8
124.25,6,8
124.5,6,8
124.75,6,8
125.0,6,8
125.25,6,8
125.5,5,9
125.75,5,9
126.0,5,9
126.25,4,8
126.5,4,8
126.75,5,8
127.0,5,9
127.25,5,9
127.5,5,9
127.75,5,9
128.0,4,8
128.25,4,9
128.5,4,9
128.75,4,9
129.0,4,9
129.25,4,9
129.5,4,9
129.75,4,8
130.0,5,8
130.25,5,8
130.5,4,6
130.75,4,6
131.0,4,6
131.25,5,6
131.5,6,6
131.75,6,6
132.0,5,7
132.25,5,8
132.5,5,7
132.75,4,6
133.0,5,7
133.25,5,7
133.5,5,7
133.75,5,8
134.0,5,8
134.25,5,8
134.5,6,8
134.75,6,8
135.0,6,8
135.25,6,8
135.5,6,9
135.75,6,8
136.0,2,13
136.25,3,13
136.5,3,13
136.75,6,10
137.0,6,10
137.25,5,10
137.5,6,11
137.75,6,11
138.0,6,11
138.25,6,11
138.5,6,11
138.75,5,10
139.0,5,10
139.25,4,10
139.5,5,10
139.75,5,10
140.0,5,10
140.25,4,10
140.5,4,10
140.75,4,9
141.0,4,8
141.25,4,8
141.5,4,8
141.75,5,8
142.0,4,8
142.25,4,8
142.5,4,8
142.75,4,8
143.0,4,8
143.25,4,8
143.5,4,9
143.75,4,10
144.0,4,10
144.25,4,10
144.5,4,10
144.75,4,10
145.0,5,10
145.25,5,10
145.5,6,10
145.75,5,9
146.0,5,9
146.25,5,9
146.5,5,9
146.75,5,9
147.0,5,9
147.25,5,9
147.5,6,8
147.75,6,8
148.0,5,8
148.25,5,9
