time,H,W
1.25,4,8
1.5,4,8
1.75,5,8
2.0,5,8
2.25,5,8
2.5,6,8
2.75,6,8
3.0,6,8
3.25,6,8
3.5,6,8
3.75,6,8
4.0,6,8
4.25,6,8
4.5,6,8
4.75,6,8
5.0,6,8
5.25,6,8
5.5,6,8
5.75,6,8
6.0,6,8
6.25,6,8
6.5,6,8
6.75,6,8
7.0,6,9
7.25,5,9
7.5,6,10
7.75,6,10
8.0,6,10
8.25,5,10
8.5,5,10
8.75,5,10
9.0,5,10
9.25,5,10
9.5,5,10
9.75,5,10
10.0,5,10
10.25,5,10
10.5,5,10
10.75,5,10
11.0,5,10
11.25,6,10
11.5,5,10
11.75,5,10
12.0,5,9
12.25,5,10
12.5,6,10
12.75,6,10
13.0,5,10
13.25,5,10
13.5,5,10
13.75,5,10
14.0,4,10
14.25,4,10
14.5,4,9
14.75,4,9
15.0,4,9
15.25,4,9
15.5,4,9
15.75,4,9
16.0,4,9
16.25,4,8
16.5,4,9
16.75,4,8
17.0,4,9
17.25,4,8
17.5,4,8
17.75,3,9
18.0,4,8
18.25,4,10
18.5,5,10
18.75,4,10
19.0,4,10
19.25,4,9
19.5,4,8
19.75,4,9
20.0,4,8
20.25,4,8
20.5,4,8
20.75,4,9
21.0,4,8
21.25,6,10
21.5,6,10
21.75,4,8
22.0,5,9
22.25,4,8
22.5,5,8
22.75,5,8
23.0,4,7
23.25,4,6
23.5,4,6
23.75,6,6
24.0,4,4
24.25,4,4
24.5,5,4
24.75,6,4
25.0,6,4
25.25,6,4
25.5,5,3
25.75,4,2
26.0,4,2
26.25,6,2
26.5,6,2
26.75,2,8
27.0,2,8
27.25,2,8
27.5,6,2
27.75,4,10
28.0,5,1
28.25,4,9
28.5,5,1
28.75,5,1
29.0,4,9
29.25,4,10
29.5,4,0
29.75,4,0
30.0,4,0
30.25,4,1
30.5,4,1
30.75,4,1
31.0,4,0
31.25,4,0
31.5,4,0
31.75,4,0
32.0,4,14
32.25,4,14
32.5,5,11
32.75,5,10
33.0,4,11
33.25,5,11
33.5,4,11
33.75,5,11
34.0,5,11
34.25,5,11
34.5,4,11
34.75,4,11
35.0,4,11
35.25,4,11
35.5,4,11
35.75,4,10
36.0,5,9
36.25,5,9
36.5,4,1
36.75,4,1
37.0,5,0
37.25,5,0
37.5,5,0
37.75,4,1
38.0,4,1
38.25,4,1
38.5,4,1
38.75,5,10
39.0,4,1
39.25,4,0
39.5,5,10
39.75,2,6
40.0,5,11
40.25,5,11
40.5,5,11
40.75,5,2
41.0,2,9
41.25,2,8
41.5,5,4
41.75,4,4
42.0,4,4
42.25,4,4
42.5,4,6
42.75,4,6
43.0,4,6
43.25,4,6
43.5,4,6
43.75,4,8
44.0,5,8
44.25,6,8
44.5,6,8
44.75,5,9
45.0,5,9
45.25,5,10
45.5,5,10
45.75,6,10
46.0,6,10
46.25,6,10
46.5,6,10
46.75,6,10
47.0,6,11
47.25,6,11
47.5,6,11
47.75,6,11
48.0,6,11
48.25,6,11
48.5,6,11
48.75,6,11
49.0,6,11
49.25,6,11
49.5,6,10
49.75,6,10
50.0,5,9
50.25,5,10
50.5,5,10
50.75,5,9
51.0,5,10
51.25,5,10
51.5,6,10
51.75,6,10
52.0,5,10
52.25,5,10
52.5,5,10
52.75,5,10
53.0,5,10
53.25,5,10
53.5,5,10
53.75,5,10
54.0,5,10
54.25,5,10
54.5,5,10
54.75,5,10
55.0,6,10
55.25,5,10
55.5,5,10
55.75,6,10
56.0,5,10
56.25,6,10
56.5,6,10
56.75,5,10
57.0,6,10
57.25,6,10
57.5,6,10
57.75,6,10
58.0,6,10
58.25,6,10
58.5,6,10
58.75,6,10
59.0,6,10
59.25,6,10
59.5,6,10
59.75,6,10
60.0,5,11
60.25,4,10
60.5,4,10
60.75,4,10
61.0,4,10
61.25,6,11
61.5,6,11
61.75,6,11
62.0,6,11
62.25,6,11
62.5,6,11
62.75,6,11
63.0,6,11
63.25,6,11
63.5,6,11
63.75,6,11
64.0,6,11
64.25,6,11
64.5,4,10
64.75,5,11
65.0,4,10
65.25,4,10
65.5,4,10
65.75,4,10
66.0,4,10
66.25,4,10
66.5,5,11
66.75,5,11
67.0,4,10
67.25,4,10
67.5,4,10
67.75,4,10
68.0,4,10
68.25,4,10
68.5,4,10
68.75,4,10
69.0,4,10
69.25,4,10
69.5,4,10
69.75,4,10
70.0,4,10
70.25,4,10
70.5,4,10
70.75,4,10
71.0,4,10
71.25,4,10
71.5,4,10
71.75,4,10
72.0,4,10
72.25,4,10
72.5,4,10
72.75,4,10
73.0,4,10
73.25,4,10
73.5,4,10
73.75,4,10
74.0,4,10
74.25,4,10
74.5,4,10
74.75,4,10
75.0,4,10
75.25,4,10
75.5,4,10
75.75,4,10
76.0,4,10
76.25,4,10
76.5,4,10
76.75,4,10
77.0,4,10
77.25,4,10
77.5,4,10
77.75,4,10
78.0,4,10
78.25,4,10
78.5,5,11
78.75,6,11
79.0,6,12
79.25,5,12
79.5,5,12
79.75,4,12
80.0,4,12
80.25,6,13
80.5,6,13
80.75,6,13
81.0,4,12
81.25,4,12
81.5,4,12
81.75,6,13
82.0,6,13
82.25,6,13
82.5,6,13
82.75,4,12
83.0,4,12
83.25,4,12
83.5,5,12
83.75,6,12
84.0,4,11
84.25,4,10
84.5,4,10
84.75,5,10
85.0,5,10
85.25,5,10
85.5,4,10
85.75,5,10
86.0,5,11
86.25,4,10
86.5,4,10
86.75,4,11
87.0,4,11
87.25,4,11
87.5,5,11
87.75,4,10
88.0,4,10
88.25,4,11
88.5,4,10
88.75,4,10
89.0,4,10
89.25,4,10
89.5,4,10
89.75,4,10
90.0,4,10
90.25,4,10
90.5,4,10
90.75,4,10
91.0,4,10
91.25,4,10
91.5,5,10
91.75,6,10
92.0,6,10
92.25,4,9
92.5,4,8
92.75,6,8
93.0,6,8
93.25,6,8
93.5,6,6
93.75,6,6
94.0,6,6
94.25,6,6
94.5,6,6
94.75,6,6
95.0,6,7
95.25,6,7
95.5,6,7
95.75,6,7
96.0,6,7
96.25,6,7
96.5,6,7
96.75,5,7
97.0,6,8
97.25,6,8
97.5,6,7
97.75,6,7
98.0,6,7
98.25,6,7
98.5,6,7
98.75,6,7
99.0,6,7
99.25,6,7
99.5,6,7
99.75,6,7
100.0,6,7
100.25,5,7
100.5,5,7
100.75,5,7
101.0,6,7
101.25,5,6
101.5,6,6
101.75,6,6
102.0,6,6
102.25,6,6
102.5,6,6
102.75,6,6
103.0,6,6
103.25,5,6
103.5,6,6
103.75,6,6
104.0,6,6
104.25,6,6
104.5,6,6
104.75,6,6
105.0,6,6
105.25,6,6
105.5,6,6
105.75,6,6
106.0,6,6
106.25,6,6
106.5,6,6
106.75,6,6
107.0,6,6
