time,H,W
1.25,4,10
1.5,6,11
1.75,5,12
2.0,4,13
2.25,5,13
2.5,6,13
2.75,4,12
3.0,4,12
3.25,5,12
3.5,5,12
3.75,4,11
4.0,4,10
4.25,5,10
4.5,6,10
4.75,5,9
5.0,6,8
5.25,5,8
5.5,6,8
5.75,6,8
6.0,6,10
6.25,6,10
6.5,4,10
6.75,4,10
7.0,4,10
7.25,5,10
7.5,5,10
7.75,5,8
8.0,4,6
8.25,5,6
8.5,5,3
8.75,7,4
9.0,4,2
9.25,4,2
9.5,5,11
9.75,5,11
10.0,5,10
10.25,4,0
10.5,4,0
10.75,4,0
11.0,5,9
11.25,4,0
11.5,3,11
11.75,4,12
12.0,4,12
12.25,5,12
12.5,5,12
12.75,6,11
13.0,4,10
13.25,4,10
13.5,5,10
13.75,5,9
14.0,5,9
14.25,5,10
14.5,5,10
14.75,4,10
15.0,5,10
15.25,4,10
15.5,4,10
15.75,4,10
16.0,4,10
16.25,4,10
16.5,4,10
16.75,4,11
17.0,4,10
17.25,4,10
17.5,4,10
17.75,4,10
18.0,4,10
18.25,5,10
18.5,6,10
18.75,4,9
19.0,4,8
19.25,4,8
19.5,6,10
19.75,4,2
20.0,5,0
20.25,4,0
20.5,4,0
20.75,4,0
21.0,4,0
21.25,4,0
21.5,4,0
21.75,4,0
22.0,4,0
22.25,4,0
22.5,4,1
22.75,4,1
23.0,5,9
23.25,5,9
23.5,5,11
23.75,4,12
24.0,6,11
24.25,4,10
24.5,5,10
24.75,5,10
25.0,5,10
25.25,5,10
25.5,5,10
25.75,5,10
26.0,5,10
26.25,5,10
26.5,5,10
26.75,6,12
27.0,6,13
27.25,5,10
27.5,1,10
27.75,2,10
28.0,4,0
28.25,4,9
28.5,4,0
28.75,4,1
29.0,5,11
29.25,5,11
29.5,5,11
29.75,5,11
30.0,4,10
30.25,4,10
30.5,4,10
30.75,4,10
31.0,4,10
31.25,4,9
31.5,4,9
31.75,4,8
32.0,5,9
32.25,6,8
32.5,4,6
32.75,5,7
33.0,5,7
33.25,5,6
33.5,3,10
33.75,3,10
34.0,4,10
34.25,5,9
34.5,5,9
34.75,5,9
35.0,5,9
35.25,6,10
35.5,6,10
35.75,6,10
36.0,6,10
36.25,6,10
36.5,6,11
36.75,6,11
37.0,5,10
37.25,5,10
37.5,5,10
37.75,5,10
38.0,5,10
38.25,6,11
38.5,6,11
38.75,6,11
39.0,6,11
39.25,6,11
39.5,6,10
39.75,5,10
40.0,6,10
40.25,6,10
40.5,3,13
40.75,6,10
41.0,6,10
41.25,6,10
41.5,6,10
41.75,6,10
42.0,5,10
42.25,6,11
42.5,6,11
42.75,6,11
43.0,6,11
43.25,6,11
43.5,6,11
