time,H,W
1.25,5,7
1.5,5,6
1.75,6,7
2.0,4,4
2.25,4,4
2.5,5,3
2.75,5,3
3.0,5,3
3.25,4,3
3.5,6,4
3.75,5,4
4.0,5,3
4.25,5,3
4.5,5,3
4.75,5,3
5.0,5,3
5.25,5,4
5.5,5,6
5.75,2,10
6.0,2,11
6.25,6,8
6.5,2,13
6.75,6,10
7.0,6,10
7.25,6,10
7.5,6,10
7.75,6,10
8.0,6,10
8.25,6,10
8.5,6,10
8.75,6,10
9.0,6,10
9.25,6,10
9.5,6,10
9.75,6,10
10.0,6,10
10.25,6,10
10.5,6,10
10.75,6,10
11.0,6,10
11.25,6,10
11.5,5,10
11.75,5,10
12.0,5,9
12.25,5,10
12.5,6,10
12.75,6,10
13.0,6,10
13.25,6,10
13.5,5,10
13.75,5,9
14.0,5,9
14.25,4,8
14.5,6,10
14.75,5,9
15.0,5,10
15.25,4,10
15.5,5,9
15.75,5,9
16.0,4,8
16.25,4,8
16.5,4,8
16.75,6,10
17.0,2,13
17.25,6,10
17.5,5,10
17.75,4,10
18.0,5,10
18.25,5,10
18.5,5,10
18.75,5,10
19.0,5,10
19.25,5,10
19.5,6,10
19.75,4,8
20.0,4,8
20.25,4,8
20.5,5,9
20.75,4,9
21.0,4,8
21.25,4,8
21.5,4,8
21.75,4,8
22.0,4,8
22.25,5,9
22.5,5,9
22.75,5,9
23.0,5,9
23.25,5,9
23.5,5,9
23.75,5,9
24.0,5,9
24.25,5,9
24.5,5,9
24.75,5,9
25.0,5,9
25.25,4,8
25.5,4,8
25.75,5,9
26.0,5,9
26.25,6,10
26.5,5,10
26.75,4,8
27.0,4,8
27.25,4,8
27.5,4,8
27.75,4,8
28.0,6,10
28.25,5,10
28.5,5,10
28.75,5,10
29.0,4,11
29.25,5,12
29.5,5,12
29.75,4,13
30.0,4,12
30.25,4,12
30.5,4,10
30.75,4,10
31.0,4,10
31.25,4,10
31.5,4,10
31.75,5,10
32.0,4,10
32.25,5,10
32.5,5,10
32.75,5,10
33.0,5,10
33.25,5,10
33.5,6,10
33.75,6,10
34.0,6,10
34.25,6,10
34.5,6,10
34.75,5,10
35.0,6,10
35.25,6,10
